,Citation_Difference
265437,11.0
791605,11.0
823512,11.0
394396,11.0
940381,11.0
654009,11.0
870779,11.0
1300650,11.0
642554,11.0
744810,11.0
621682,11.0
1381162,11.0
1242423,11.0
558927,11.0
777276,11.0
759273,11.0
1395736,11.0
745826,11.0
468385,11.0
584846,11.0
790021,11.0
1241932,11.0
1123894,11.0
99781,11.0
396788,11.0
583682,11.0
605620,11.0
725820,11.0
817466,11.0
1242456,11.0
471588,11.0
1223530,11.0
621391,11.0
1621468,11.0
81208,11.0
722757,11.0
480073,11.0
357104,11.0
601605,11.0
372904,11.0
845452,11.0
780596,11.0
1433029,11.0
943777,11.0
745206,11.0
692606,11.0
1127335,11.0
392383,11.0
60999,11.0
1611365,11.0
1289059,11.0
823839,11.0
790516,11.0
130804,11.0
653815,11.0
5134,11.0
129333,11.0
512588,11.0
1343142,11.0
191420,11.0
733764,11.0
1123150,11.0
568440,11.0
328398,11.0
508477,11.0
163902,11.0
422927,11.0
196244,10.0
719389,10.0
601625,10.0
1084730,10.0
1423262,10.0
182077,10.0
1286596,10.0
720792,10.0
15505,10.0
695135,10.0
196842,10.0
182239,10.0
1318925,10.0
1398543,10.0
144200,10.0
8573,10.0
119348,10.0
875843,10.0
337661,10.0
68965,10.0
621564,10.0
1296307,10.0
569290,10.0
501340,10.0
782803,10.0
119585,10.0
259963,10.0
74736,10.0
812525,10.0
356406,10.0
1202496,10.0
128809,10.0
699596,10.0
892788,10.0
34037,10.0
805902,10.0
219675,10.0
699813,10.0
585962,10.0
246640,10.0
711505,10.0
764336,10.0
74902,10.0
1210032,10.0
872570,10.0
1209989,10.0
678629,10.0
1114117,10.0
512419,10.0
443200,10.0
1204778,10.0
553642,10.0
9266,10.0
179100,10.0
266815,10.0
526179,10.0
534166,10.0
779370,10.0
361359,10.0
644882,10.0
743700,10.0
243165,10.0
454643,10.0
118075,10.0
316549,10.0
373021,10.0
1294674,10.0
617715,10.0
241469,10.0
218741,10.0
805958,10.0
684121,10.0
